pair,feature,t-stat,p-value
"(2, 3)",First Index,0.22170907142236881,0.8245823590798164
"(2, 3)",Content Function Ratio,0.7017241373420812,0.4830026828618085
"(2, 3)",Lexical Frequency,-1.31004655313429,0.19045917156913772
"(2, 3)",Word Length,0.07755407349189719,0.9381971680823511
"(2, 4)",First Index,1.6773619269834115,0.09386729749577923
"(2, 4)",Content Function Ratio,0.7768207199583831,0.43749708031813117
"(2, 4)",Lexical Frequency,-1.0505076250340712,0.29380602759006347
"(2, 4)",Word Length,0.3722383068990769,0.709815258226585
"(2, 5)",First Index,1.4828752494892656,0.13850636046079343
"(2, 5)",Content Function Ratio,0.04028921998663735,0.9678727274691103
"(2, 5)",Lexical Frequency,-0.12406468923686695,0.9012956150016751
"(2, 5)",Word Length,-0.7881857455055241,0.43082450185109955
"(2, 6)",First Index,-1.1615798710126037,0.2457276982539518
"(2, 6)",Content Function Ratio,0.280788290968485,0.7789401636009308
"(2, 6)",Lexical Frequency,-0.1628082332926879,0.8707075839930193
"(2, 6)",Word Length,-0.6890951526333444,0.4909488258884419
"(2, 8)",First Index,0.09942780718775587,0.9208263583924519
"(2, 8)",Content Function Ratio,-0.3654175501906824,0.7149073638249583
"(2, 8)",Lexical Frequency,1.4117548324473184,0.1584553735633669
"(2, 8)",Word Length,-1.6917660963520875,0.09112448726449249
"(2, 10)",First Index,-0.8671967422288652,0.3861239404012411
"(2, 10)",Content Function Ratio,-0.6110617856094024,0.5413520746755842
"(2, 10)",Lexical Frequency,0.16947980143608718,0.8654669959373449
"(2, 10)",Word Length,-1.4712034903893072,0.1416742144244457
"(2, 12)",First Index,-2.081367060654331,0.037766331328431754
"(2, 12)",Content Function Ratio,-0.1070064002254517,0.914814827253267
"(2, 12)",Lexical Frequency,-0.2668560020764897,0.7896593070282443
"(2, 12)",Word Length,-0.6048564659930158,0.5454720797381587
"(3, 4)",First Index,1.3385856287402935,0.1812355383377052
"(3, 4)",Content Function Ratio,0.39604216408830417,0.6922210934617364
"(3, 4)",Lexical Frequency,-0.2519324391397737,0.8011834622907761
"(3, 4)",Word Length,0.3636979059568722,0.7162175232647705
"(3, 5)",First Index,1.1669708067891258,0.24370672891167167
"(3, 5)",Content Function Ratio,-0.5246170944511612,0.6000519417963974
"(3, 5)",Lexical Frequency,0.8937725334836348,0.371818190166588
"(3, 5)",Word Length,-0.962561672161083,0.3361728566544814
"(3, 6)",First Index,-1.170521484968193,0.2422227905246854
"(3, 6)",Content Function Ratio,-0.3486363003681168,0.7274759648036406
"(3, 6)",Lexical Frequency,1.0776174198050774,0.28160675933900375
"(3, 6)",Word Length,-0.8604531666634162,0.3898585144475667
"(3, 8)",First Index,-0.013276257623554426,0.9894126646984539
"(3, 8)",Content Function Ratio,-0.9062514905144856,0.3652375273808931
"(3, 8)",Lexical Frequency,2.620092917455909,0.00905680127518159
"(3, 8)",Word Length,-2.0504452291175235,0.04083974171840253
"(3, 10)",First Index,-0.8631929795107003,0.3884435791994625
"(3, 10)",Content Function Ratio,-1.2295532490487293,0.21944040693934488
"(3, 10)",Lexical Frequency,1.028522514109915,0.3041994126732189
"(3, 10)",Word Length,-1.7926116920514987,0.07363700798182875
"(3, 12)",First Index,-1.9295662259958308,0.054252100095464
"(3, 12)",Content Function Ratio,-0.49673612432690184,0.6196035126323376
"(3, 12)",Lexical Frequency,0.32015919268888976,0.7489875553552872
"(3, 12)",Word Length,-0.7587148284543309,0.4483971082260392
"(4, 5)",First Index,-0.14824140872658095,0.8822567154243627
"(4, 5)",Content Function Ratio,-0.8505085013306836,0.39575390668667465
"(4, 5)",Lexical Frequency,1.0079486980454753,0.3143310911467886
"(4, 5)",Word Length,-1.244550569075245,0.21431590225546776
"(4, 6)",First Index,-2.2367522068897827,0.02591775289466864
"(4, 6)",Content Function Ratio,-0.7600443713444466,0.4477282897010758
"(4, 6)",Lexical Frequency,1.2140328832846423,0.22553542686961647
"(4, 6)",Word Length,-1.2179141510645761,0.22405868478413868
"(4, 8)",First Index,-0.95311267937391,0.34160828938877963
"(4, 8)",Content Function Ratio,-1.2316345327193376,0.2194373243793808
"(4, 8)",Lexical Frequency,2.8023154809511186,0.005539328972372503
"(4, 8)",Word Length,-2.476913979632125,0.014027153978888948
"(4, 10)",First Index,-1.679361487270091,0.09454098721513907
"(4, 10)",Content Function Ratio,-1.5789361065716314,0.11582768630383994
"(4, 10)",Lexical Frequency,1.2455947824685023,0.2142752396409022
"(4, 10)",Word Length,-2.2245374982668644,0.02715666541532542
"(4, 12)",First Index,-2.7211133730252572,0.007110694955199427
"(4, 12)",Content Function Ratio,-0.7798868288455036,0.4364279079173675
"(4, 12)",Lexical Frequency,0.5050709727885307,0.6140943247000188
"(4, 12)",Word Length,-1.0850612417136323,0.27926936758834425
"(5, 6)",First Index,-2.05822415564835,0.04029199525626772
"(5, 6)",Content Function Ratio,0.28925400928933365,0.7725544373626974
"(5, 6)",Lexical Frequency,-0.012354654766233673,0.9901495443787975
"(5, 6)",Word Length,0.3106254249037949,0.7562661645779691
"(5, 8)",First Index,-0.8220998742540702,0.4119350749173132
"(5, 8)",Content Function Ratio,-0.6229341842218517,0.5339910479932606
"(5, 8)",Lexical Frequency,2.0503407859457914,0.04155005608458728
"(5, 8)",Word Length,-1.5617731068179987,0.11981903351353328
"(5, 10)",First Index,-1.5454170972083086,0.12372290942203305
"(5, 10)",Content Function Ratio,-1.0343856735883559,0.30212338857179416
"(5, 10)",Lexical Frequency,0.36655051683342316,0.7143164765919072
"(5, 10)",Word Length,-1.269655051955263,0.20558645912393586
"(5, 12)",First Index,-2.5685810606751467,0.010979401126313154
"(5, 12)",Content Function Ratio,-0.2163371267308636,0.828957064010295
"(5, 12)",Lexical Frequency,-0.28172013957479936,0.7784647116522507
