pair,feature,t-stat,p-value
"(2, 3)",First Index,0.02508753895490904,0.9799898481125837
"(2, 3)",Content Function Ratio,0.19191710168436402,0.8478437949947984
"(2, 3)",Lexical Frequency,0.11551898058703974,0.9080555945050531
"(2, 3)",Word Length,-0.348456395760682,0.7275664541578454
"(2, 4)",First Index,0.08872198069185035,0.9293253492891271
"(2, 4)",Content Function Ratio,-0.042914257602895495,0.9657807271809687
"(2, 4)",Lexical Frequency,0.24197283119340435,0.8088640132350577
"(2, 4)",Word Length,-0.7831466630514555,0.4337756966293863
"(2, 5)",First Index,0.19631266115116935,0.8444160677486806
"(2, 5)",Content Function Ratio,-0.32235866247264205,0.7472665011937731
"(2, 5)",Lexical Frequency,0.7608125602627585,0.4469966270899547
"(2, 5)",Word Length,-1.4472713876553567,0.14821862318875959
"(2, 6)",First Index,0.6236761748406926,0.5330254589616465
"(2, 6)",Content Function Ratio,-1.2169476453249803,0.22399796421193924
"(2, 6)",Lexical Frequency,0.24025547006243875,0.8101963282212329
"(2, 6)",Word Length,-1.7908490674668724,0.07371123834524057
"(2, 8)",First Index,0.18653932748322946,0.8520746806691173
"(2, 8)",Content Function Ratio,-0.2191928025149594,0.8265623305413672
"(2, 8)",Lexical Frequency,0.18187773347770986,0.8557301568829215
"(2, 8)",Word Length,-0.20920946440133503,0.8343442316447413
"(2, 10)",First Index,-0.08815578942440802,0.9297785831201961
"(2, 10)",Content Function Ratio,-0.196184105625401,0.8445241690122844
"(2, 10)",Lexical Frequency,-0.10237462961729535,0.9184892376592595
"(2, 10)",Word Length,-0.5438989613016357,0.5866877218220774
"(2, 12)",First Index,0.6373936609096679,0.5240839496627703
"(2, 12)",Content Function Ratio,-0.09504791156872035,0.9243048965283087
"(2, 12)",Lexical Frequency,-0.6498735217285896,0.5159943667573589
"(2, 12)",Word Length,-0.584786521513809,0.5588861031339233
"(3, 4)",First Index,0.06804329085355254,0.945775503814696
"(3, 4)",Content Function Ratio,-0.20804434524753496,0.8352701174806813
"(3, 4)",Lexical Frequency,0.19337308729525055,0.8467370314112374
"(3, 4)",Word Length,-0.6600064120550889,0.5095215586915187
"(3, 5)",First Index,0.17044731446741532,0.8647202583013821
"(3, 5)",Content Function Ratio,-0.5579633378722232,0.5770936059311726
"(3, 5)",Lexical Frequency,0.8165152144565734,0.41455459131340466
"(3, 5)",Word Length,-1.4692579001020767,0.14232740683745182
"(3, 6)",First Index,0.5822337909212854,0.5606535780938889
"(3, 6)",Content Function Ratio,-1.7357975959800422,0.08317323431297119
"(3, 6)",Lexical Frequency,0.20381464154255527,0.8385755640720326
"(3, 6)",Word Length,-1.9288887657202436,0.05427135129335388
"(3, 8)",First Index,0.16893659003034,0.8659169503334863
"(3, 8)",Content Function Ratio,-0.4000391684303762,0.6893037974739051
"(3, 8)",Lexical Frequency,0.15574541378839388,0.8762984997889516
"(3, 8)",Word Length,-0.0537089524186919,0.9571891656201336
"(3, 10)",First Index,-0.0958211499664681,0.9237048070466396
"(3, 10)",Content Function Ratio,-0.347091456262884,0.7286830922778341
"(3, 10)",Lexical Frequency,-0.18031196369373761,0.8569879436985912
"(3, 10)",Word Length,-0.5246404839829999,0.6000886459504535
"(3, 12)",First Index,0.6185670072706493,0.5365174195266281
"(3, 12)",Content Function Ratio,-0.20395474571959182,0.8384818926396952
"(3, 12)",Lexical Frequency,-0.8580199835971022,0.39134228091049816
"(3, 12)",Word Length,-0.5983410974584715,0.5499160914637322
"(4, 5)",First Index,0.08435666324832962,0.9328322944288936
"(4, 5)",Content Function Ratio,-0.33769528833975204,0.7358422931326793
"(4, 5)",Lexical Frequency,0.5632482423132548,0.5737102706777755
"(4, 5)",Word Length,-0.7948631905365416,0.42735684231328297
"(4, 6)",First Index,0.4368784254970227,0.6625566365453752
"(4, 6)",Content Function Ratio,-1.7403899426918021,0.0829557655167976
"(4, 6)",Lexical Frequency,0.01131439589467681,0.990981156134984
"(4, 6)",Word Length,-1.3477613310655931,0.17889056386684554
"(4, 8)",First Index,0.10459379655139395,0.9167970245993193
"(4, 8)",Content Function Ratio,-0.2686475103878883,0.7884621925421411
"(4, 8)",Lexical Frequency,0.006617388332727644,0.9947263493052744
"(4, 8)",Word Length,0.4718996171284616,0.6374837780586877
"(4, 10)",First Index,-0.12468554578676563,0.9009101093372853
"(4, 10)",Content Function Ratio,-0.2652829913636611,0.7910916973660083
"(4, 10)",Lexical Frequency,-0.3085552898069655,0.7580127269303736
"(4, 10)",Word Length,-0.16880822785789507,0.8661349472050395
"(4, 12)",First Index,0.5471320875360879,0.5849930744059572
"(4, 12)",Content Function Ratio,-0.1137377467624973,0.9095775732505627
"(4, 12)",Lexical Frequency,-1.008748228108771,0.31450419987400063
"(4, 12)",Word Length,-0.31294986411384285,0.754695698429888
"(5, 6)",First Index,0.35320783557496727,0.7242166529019093
"(5, 6)",Content Function Ratio,-1.4805382545306542,0.13993117065677915
"(5, 6)",Lexical Frequency,-0.6427468686117389,0.5209504381958148
"(5, 6)",Word Length,-0.5880478889479139,0.5570066761986318
"(5, 8)",First Index,0.035922945563101244,0.9713779231543469
"(5, 8)",Content Function Ratio,0.019876594291126808,0.9841606889578567
"(5, 8)",Lexical Frequency,-0.5406312962054997,0.5893346929008814
"(5, 8)",Word Length,1.185419780814109,0.23719116449356542
"(5, 10)",First Index,-0.17975405456790558,0.8575478499005619
"(5, 10)",Content Function Ratio,-0.03308819512585921,0.9736409183492194
"(5, 10)",Lexical Frequency,-0.836766789969754,0.40383319286706054
"(5, 10)",Word Length,0.39158598233243846,0.6958273280884699
"(5, 12)",First Index,0.4962368018763413,0.6203646021771765
"(5, 12)",Content Function Ratio,0.10291640013772048,0.9181499144039019
"(5, 12)",Lexical Frequency,-1.6607862030142027,0.09858885351974586
"(5, 12)",Word Length,0.19034254656652694,0.8492664931821525
"(6, 8)",First Index,-0.25759362094157595,0.796999327415393
"(6, 8)",Content Function Ratio,1.7177198304589396,0.08747697029144376
"(6, 8)",Lexical Frequency,-0.0033612387509844768,0.9973216510185731
