pair,feature,t-stat,p-value
"(2, 3)",First Index,1.2927692968022066,0.1964078452182676
"(2, 3)",Content Function Ratio,1.9253848795379997,0.05448201022427045
"(2, 3)",Lexical Frequency,-0.2748253552821985,0.7835106795455944
"(2, 3)",Word Length,0.9632082080624894,0.335690236036726
"(2, 4)",First Index,0.9561586880408617,0.33932501158147843
"(2, 4)",Content Function Ratio,0.3277608602017117,0.7431913337887173
"(2, 4)",Lexical Frequency,-0.7384089043523347,0.4605156330527178
"(2, 4)",Word Length,0.7313522729942235,0.4648108694486188
"(2, 5)",First Index,0.7689966615572468,0.44215996395843926
"(2, 5)",Content Function Ratio,1.023546727185522,0.3064102166950112
"(2, 5)",Lexical Frequency,-1.5336565753856648,0.1255751981288919
"(2, 5)",Word Length,0.3298269138836413,0.7416314386798362
"(2, 6)",First Index,0.728846820469019,0.466327849610639
"(2, 6)",Content Function Ratio,0.20822599348709542,0.8351102779842094
"(2, 6)",Lexical Frequency,-1.9195312513879297,0.05530450584689446
"(2, 6)",Word Length,0.20524501790398908,0.8374376041520707
"(2, 8)",First Index,0.3441920261236355,0.7308195327512198
"(2, 8)",Content Function Ratio,0.5084308148351763,0.6113335725209872
"(2, 8)",Lexical Frequency,-1.117931296673774,0.26403283960737844
"(2, 8)",Word Length,-0.31800253508736076,0.7505909626712207
"(2, 10)",First Index,0.7988063200740795,0.4247076290086258
"(2, 10)",Content Function Ratio,0.585617758755906,0.5583448219012703
"(2, 10)",Lexical Frequency,-1.8098204449716122,0.0708061677189191
"(2, 10)",Word Length,0.03229731728146167,0.9742453094276182
"(2, 12)",First Index,0.7712857542311276,0.4408463510141243
"(2, 12)",Content Function Ratio,0.6870711257448945,0.4923078761828342
"(2, 12)",Lexical Frequency,-1.8028641107776848,0.07191969287786713
"(2, 12)",Word Length,0.7938938883050534,0.4275763871144407
"(3, 4)",First Index,0.03705782432081517,0.9704527491042217
"(3, 4)",Content Function Ratio,-1.2292707712201703,0.21951167990642104
"(3, 4)",Lexical Frequency,-0.5886899723951351,0.5563181853181686
"(3, 4)",Word Length,0.0794704503262054,0.9366882062694908
"(3, 5)",First Index,-0.12088977813898656,0.9038245030248422
"(3, 5)",Content Function Ratio,-0.30922382386977276,0.7572737206717701
"(3, 5)",Lexical Frequency,-1.4897588304324265,0.13688701071758155
"(3, 5)",Word Length,-0.37427843601955146,0.7083480049731303
"(3, 6)",First Index,-0.2624081032438929,0.7931009745114928
"(3, 6)",Content Function Ratio,-1.6955491732515504,0.09051357959426201
"(3, 6)",Lexical Frequency,-1.8846099671712484,0.05998751264881163
"(3, 6)",Word Length,-0.6544486689536708,0.5130849210389331
"(3, 8)",First Index,-0.3000064579554208,0.764309240528759
"(3, 8)",Content Function Ratio,-0.5589289952686953,0.5764851583070723
"(3, 8)",Lexical Frequency,-1.1090162278182136,0.26800900870199185
"(3, 8)",Word Length,-0.9582822512512224,0.33842936077928565
"(3, 10)",First Index,0.10513287548961826,0.9163160010052921
"(3, 10)",Content Function Ratio,-0.5137242254974661,0.6076904129758158
"(3, 10)",Lexical Frequency,-1.8712422324218656,0.061943301997203944
"(3, 10)",Word Length,-0.5596871580523595,0.5759640841879485
"(3, 12)",First Index,0.23475328055784744,0.8145119745785551
"(3, 12)",Content Function Ratio,-0.02772624196756714,0.9778933566963153
"(3, 12)",Lexical Frequency,-1.9249588493626715,0.054893852954916375
"(3, 12)",Word Length,0.5247178995231675,0.6000497159472735
"(4, 5)",First Index,-0.13010567288347522,0.8965769127814353
"(4, 5)",Content Function Ratio,0.7795958887187094,0.4362919554457457
"(4, 5)",Lexical Frequency,-0.8350684901242218,0.4043962140545815
"(4, 5)",Word Length,-0.41979481717531913,0.6749595937050192
"(4, 6)",First Index,-0.24276133008582287,0.8083429583992552
"(4, 6)",Content Function Ratio,-0.18986078550203445,0.8495363842152625
"(4, 6)",Lexical Frequency,-1.1189615662564518,0.26398033626425293
