First Index,Content Function Ratio,Lexical Frequency,Word Length
1,0.3333333333333333,-3.6440748659115827,4.666666666666667
2,0.3333333333333333,-3.5979532144170427,6.333333333333333
0,0.3333333333333333,-4.16497702266571,4.666666666666667
4,-0.3333333333333333,-3.652715878084719,6.666666666666667
0,-0.3333333333333333,-4.619368285917781,4.666666666666667
1,0.3333333333333333,-3.6321739950494254,6.333333333333333
3,0.3333333333333333,-4.005936604425823,7.666666666666667
1,0.3333333333333333,-4.411853721248151,6.0
2,1.0,-3.919519206652349,7.333333333333333
4,-0.3333333333333333,-2.764763329411286,5.0
0,-0.3333333333333333,-4.444746733163785,6.666666666666667
1,1.0,-4.453892815946099,8.0
2,1.0,-4.114021845667771,8.0
0,1.0,-4.85737953617508,7.0
1,-0.3333333333333333,-3.1658482278666056,6.0
3,0.3333333333333333,-3.8232854241441268,6.333333333333333
4,1.0,-4.439429230185575,6.0
2,0.3333333333333333,-3.0586777844565476,5.0
1,1.0,-4.024042756619248,5.333333333333333
3,1.0,-4.092309122779718,8.333333333333334
1,1.0,-3.6466448251581376,6.0
3,0.3333333333333333,-4.332929707304612,8.666666666666666
2,-0.3333333333333333,-3.3147431067311612,5.0
4,1.0,-3.0133973791558133,5.333333333333333
2,0.3333333333333333,-4.005278702585984,8.0
1,0.3333333333333333,-3.4412427455847143,5.333333333333333
0,0.3333333333333333,-4.619780134921884,8.0
3,0.3333333333333333,-4.366288789992165,6.666666666666667
4,0.3333333333333333,-3.747676997989195,7.0
0,1.0,-4.618139722725459,8.666666666666666
4,-1.0,-3.017494626954624,4.666666666666667
0,0.3333333333333333,-4.3489042247436736,7.666666666666667
1,0.3333333333333333,-4.16497702266571,8.666666666666666
3,1.0,-4.58000184855845,8.333333333333334
2,1.0,-4.1688236792446,8.333333333333334
1,1.0,-3.7248777038757397,7.333333333333333
2,-0.3333333333333333,-2.9173937773282255,5.333333333333333
3,0.3333333333333333,-4.083225359895668,6.333333333333333
1,1.0,-5.134882507077157,9.0
2,0.3333333333333333,-3.34822731989259,7.666666666666667
4,1.0,-3.6272655238958174,5.333333333333333
1,1.0,-3.584660221222888,5.333333333333333
0,0.3333333333333333,-4.363874803636079,4.666666666666667
4,0.3333333333333333,-3.3341846803653277,6.333333333333333
