pair,feature,t-stat,p-value
"(2, 3)",First Index,0.22356814323682633,0.8231260651585679
"(2, 3)",Content Function Ratio,-1.9339695714658782,0.053318781969687944
"(2, 3)",Lexical Frequency,-0.5976543212333836,0.5501675429682045
"(2, 3)",Word Length,1.9506311672062944,0.05130080127771654
"(2, 4)",First Index,-0.3802880957967134,0.7038032939584394
"(2, 4)",Content Function Ratio,0.1855431494816139,0.8528364558840199
"(2, 4)",Lexical Frequency,-1.3793361195263492,0.16806502579191995
"(2, 4)",Word Length,-0.03048362391422689,0.9756867556225745
"(2, 5)",First Index,-0.38835996339428924,0.6978240733269208
"(2, 5)",Content Function Ratio,0.15537975021188605,0.8765501719244162
"(2, 5)",Lexical Frequency,-1.463725521601018,0.14355182404674213
"(2, 5)",Word Length,0.14373665717591008,0.8857344897749984
"(2, 6)",First Index,1.1218403508867585,0.2621626896545489
"(2, 6)",Content Function Ratio,-0.5607172374824949,0.5750986910412677
"(2, 6)",Lexical Frequency,-1.020057260118519,0.3079141783822361
"(2, 6)",Word Length,0.25240320950968315,0.800774173485693
"(2, 8)",First Index,0.9004026409927967,0.36812150466673266
"(2, 8)",Content Function Ratio,0.15200642796062688,0.8792123442032108
"(2, 8)",Lexical Frequency,-0.8727587823995904,0.38300283206022223
"(2, 8)",Word Length,-0.1671817554954904,0.867260637783618
"(2, 10)",First Index,0.5278347440020386,0.5977305551110426
"(2, 10)",Content Function Ratio,0.5189407241422506,0.603916326143285
"(2, 10)",Lexical Frequency,-1.2523055401310748,0.21074989346140627
"(2, 10)",Word Length,-0.23026243023525816,0.8179347128146559
"(2, 12)",First Index,0.5476518824171915,0.5840550276197982
"(2, 12)",Content Function Ratio,0.38648992590106795,0.6992173349029085
"(2, 12)",Lexical Frequency,-0.9390643211790265,0.34792793293161384
"(2, 12)",Word Length,-0.3745106875291188,0.7081050174190551
"(3, 4)",First Index,-0.5050408080015628,0.6136952662367234
"(3, 4)",Content Function Ratio,1.838576321052973,0.06641734423582941
"(3, 4)",Lexical Frequency,-1.2445031447126984,0.2137470184152863
"(3, 4)",Word Length,-1.9628405357553387,0.050075599880062584
"(3, 5)",First Index,-0.5088840580115369,0.6110038247093752
"(3, 5)",Content Function Ratio,1.8551410053066908,0.06402246941769504
"(3, 5)",Lexical Frequency,-1.4208313388313263,0.15583877818096292
"(3, 5)",Word Length,-1.8594637219396646,0.06340688469611637
"(3, 6)",First Index,0.8740221649184445,0.382402966682277
"(3, 6)",Content Function Ratio,1.2159219216472648,0.22442049181246984
"(3, 6)",Lexical Frequency,-0.7656356835658615,0.44414862554472656
"(3, 6)",Word Length,-1.953933442056748,0.051103013985128114
"(3, 8)",First Index,0.7693017746210022,0.44204204458037755
"(3, 8)",Content Function Ratio,1.3923927893485775,0.164362097503968
"(3, 8)",Lexical Frequency,-0.8600326297233586,0.3901430701175693
"(3, 8)",Word Length,-1.852136450704354,0.0645379951649708
"(3, 10)",First Index,0.4063968037064014,0.6846082900241733
"(3, 10)",Content Function Ratio,1.878853718558784,0.060790217766963396
"(3, 10)",Lexical Frequency,-1.4136993146713572,0.15801288245063053
"(3, 10)",Word Length,-1.9261730464631797,0.054595018264778965
"(3, 12)",First Index,0.44286003337232294,0.6580466522843349
"(3, 12)",Content Function Ratio,1.553960561928708,0.12078737165117819
"(3, 12)",Lexical Frequency,-1.022080656073143,0.30720639608942024
"(3, 12)",Word Length,-1.9641196268504153,0.05003546476929455
"(4, 5)",First Index,-0.01643618620231035,0.9868948377849021
"(4, 5)",Content Function Ratio,-0.030145699058211756,0.9759663148187532
"(4, 5)",Lexical Frequency,-0.12716343464193078,0.8988767515121626
"(4, 5)",Word Length,0.19935820108613245,0.842086718599644
"(4, 6)",First Index,1.1586505956937776,0.24723140498778567
"(4, 6)",Content Function Ratio,-0.9016989489003648,0.36771350474884845
"(4, 6)",Lexical Frequency,0.5670596434822368,0.5709648148275033
"(4, 6)",Word Length,0.3314291867730271,0.7404791995306371
"(4, 8)",First Index,1.024294608539871,0.3065678126220567
"(4, 8)",Content Function Ratio,0.03486808823087149,0.9722094211277986
"(4, 8)",Lexical Frequency,0.06188160690605811,0.9507006420258052
"(4, 8)",Word Length,-0.18719578541307952,0.8516407917223159
"(4, 10)",First Index,0.6863155298596915,0.4930760705488916
"(4, 10)",Content Function Ratio,0.5037052725955096,0.6148603681587612
