pair,feature,t-stat,p-value
"(2, 3)",First Index,0.8996881462278792,0.3685861994711085
"(2, 3)",Content Function Ratio,0.7853115165706724,0.43252856274974394
"(2, 3)",Lexical Frequency,-1.9539636334020862,0.051091247624304365
"(2, 3)",Word Length,0.6459784065348259,0.5184985970486488
"(2, 4)",First Index,0.7991399795072911,0.4245492733682602
"(2, 4)",Content Function Ratio,-0.4278961253036295,0.6688918424133292
"(2, 4)",Lexical Frequency,-1.6161011015795463,0.10663765470765059
"(2, 4)",Word Length,-0.2806388024907915,0.7790914702929023
"(2, 5)",First Index,1.4662231536771102,0.14317281867727163
"(2, 5)",Content Function Ratio,0.3474005735841449,0.7284265163441513
"(2, 5)",Lexical Frequency,-1.6350743288968912,0.10261946943739314
"(2, 5)",Word Length,-0.6622135625031778,0.5081184492548219
"(2, 6)",First Index,0.6530225889915275,0.5139918537641616
"(2, 6)",Content Function Ratio,-0.2129768929577552,0.8314173267947325
"(2, 6)",Lexical Frequency,-1.5095389350530837,0.13168751849981178
"(2, 6)",Word Length,-0.7166608888339142,0.47386222488416685
"(2, 8)",First Index,0.2995723468431343,0.7646306688207096
"(2, 8)",Content Function Ratio,0.01953541868367038,0.9844219507006438
"(2, 8)",Lexical Frequency,-1.6933619061202019,0.0910234605232639
"(2, 8)",Word Length,-1.1859560423508322,0.23621558904603593
"(2, 10)",First Index,0.761748294963923,0.4465804952393899
"(2, 10)",Content Function Ratio,-0.36099729761943455,0.7182586556021937
"(2, 10)",Lexical Frequency,-1.7394064611643174,0.08259772214272579
"(2, 10)",Word Length,-0.9376628065963116,0.34888441337571796
"(2, 12)",First Index,0.807454493065416,0.419807981201604
"(2, 12)",Content Function Ratio,-0.01539492831343456,0.9877235599859764
"(2, 12)",Lexical Frequency,-1.7459382275032571,0.08146683426540023
"(2, 12)",Word Length,-1.1613874427948487,0.24606642641479354
"(3, 4)",First Index,0.10561716224778876,0.9159372611198722
"(3, 4)",Content Function Ratio,-1.199782684060844,0.23090989937275996
"(3, 4)",Lexical Frequency,-0.3284174927414949,0.7427620635853649
"(3, 4)",Word Length,-0.8791348597290871,0.3798381318015499
"(3, 5)",First Index,0.7651489540135349,0.44464208462206134
"(3, 5)",Content Function Ratio,-0.24266282443354095,0.808393201098611
"(3, 5)",Lexical Frequency,-0.46530336287482427,0.6419719529187544
"(3, 5)",Word Length,-1.348117456220673,0.1783971010697194
"(3, 6)",First Index,-0.09641469933623527,0.9232335764016555
"(3, 6)",Content Function Ratio,-1.0611770486390553,0.2891711553904626
"(3, 6)",Lexical Frequency,0.11288300339586517,0.9101729885231467
"(3, 6)",Word Length,-1.482765831995484,0.13882740152746037
"(3, 8)",First Index,-0.17852855251142954,0.858412687843928
"(3, 8)",Content Function Ratio,-0.49110575802843587,0.6236639018711023
"(3, 8)",Lexical Frequency,-1.0124394530756085,0.3120374974079192
"(3, 8)",Word Length,-1.9010820513104034,0.058124336739105206
"(3, 10)",First Index,0.26764763098038435,0.7891323763362199
"(3, 10)",Content Function Ratio,-0.9578423263687124,0.3388208707986853
"(3, 10)",Lexical Frequency,-1.1308947352322936,0.25889413653082166
"(3, 10)",Word Length,-1.5882194571828745,0.11316346052359214
"(3, 12)",First Index,0.34652320485282184,0.7291690649488999
"(3, 12)",Content Function Ratio,-0.47254611751676157,0.6368475111257784
"(3, 12)",Lexical Frequency,-1.2539211132783936,0.21075287046836488
"(3, 12)",Word Length,-1.828566545075139,0.0683616182212557
"(4, 5)",First Index,0.5861460736654428,0.5583546350348507
"(4, 5)",Content Function Ratio,0.9920905814313027,0.32220045208106207
"(4, 5)",Lexical Frequency,-0.10641317823993762,0.9153476980572477
