First Index,Content Function Ratio,Lexical Frequency,Word Length
0,1.0,-3.750618205645652,6.2
1,0.6,-3.846813314806101,5.4
2,0.6,-3.84789290428755,5.2
3,1.0,-4.233845417110276,7.8
0,1.0,-4.540068179163959,8.2
2,1.0,-4.438941296823584,8.0
4,0.6,-4.263639030866198,7.2
1,0.6,-4.232046994607956,7.8
3,1.0,-4.561015249267962,9.0
1,-0.2,-3.509729432807312,5.2
0,0.2,-4.145211084553181,5.6
4,0.6,-3.4416326989768384,5.4
3,0.2,-3.5899000315219873,5.6
1,1.0,-4.386637005947523,6.2
4,1.0,-4.772613638663499,8.8
0,1.0,-4.704849927352823,7.4
3,0.2,-3.786299612346447,5.2
2,0.2,-3.6240977463606256,5.4
4,0.2,-4.405681614948059,5.2
0,0.6,-4.182189184304836,6.4
1,0.2,-3.7088526637926877,4.4
2,0.6,-4.087667001611504,5.8
3,1.0,-4.535830319349971,7.8
4,0.6,-3.5328048523697775,5.8
3,1.0,-4.6344134237305505,10.8
0,0.2,-4.29699543785038,6.4
4,0.6,-3.9724554626962587,6.2
2,0.2,-3.9513996663665303,7.0
1,1.0,-4.234828025455124,7.2
0,-0.2,-3.5558081552309937,3.6
3,0.6,-3.903298848139593,7.0
0,0.6,-4.6035940306606475,7.2
2,1.0,-4.132192792196443,7.4
3,0.6,-4.497993007920806,6.6
1,0.6,-4.234493885891359,5.4
4,0.6,-3.839461097478386,4.4
4,0.6,-3.427397095089596,5.0
1,0.6,-4.045940936829719,8.0
0,0.2,-3.847646495905612,7.2
3,1.0,-4.202740925311501,9.4
2,1.0,-4.0371443999650864,6.8
2,0.6,-3.773128418220413,7.2
0,1.0,-4.828420779055062,5.4
1,1.0,-4.3069297744121275,6.0
4,1.0,-4.562609035202217,7.4
3,1.0,-4.106604712214324,7.2
0,1.0,-4.127340532364871,7.0
4,0.2,-3.51515064219938,5.2
2,1.0,-4.578445284411742,8.0
3,1.0,-4.638651283544538,7.8
1,1.0,-4.546505115838239,7.4
4,1.0,-4.658033286146149,9.4
1,1.0,-4.280735141111653,6.8
0,0.6,-4.1299245770292865,4.6
0,0.2,-3.805772863051351,3.8
3,0.2,-4.282348077943655,8.0
1,1.0,-3.959504485547509,8.6
4,0.6,-3.7895908735986246,6.2
2,0.2,-3.5344639544878973,6.2
0,1.0,-4.441895965937161,7.0
1,1.0,-4.608057791502829,7.2
2,0.6,-3.970199654710053,6.6
3,0.2,-3.67300343314159,6.0
0,0.6,-4.863639030866198,7.8
3,1.0,-4.518844576204983,6.6
1,1.0,-4.595447442353412,8.8
4,0.6,-3.3939266592327035,5.2
4,1.0,-4.493025636929092,9.6
0,1.0,-4.0731487105019095,7.8
3,0.2,-4.078779343980914,8.0
2,1.0,-4.773179496667272,6.4
1,0.2,-3.8328743648579198,4.8
1,0.6,-3.5810262502818433,7.0
0,1.0,-4.030405653842849,5.6
3,0.6,-3.708727463150214,6.0
2,0.6,-3.7597671740466603,6.4
4,0.6,-4.865262608910634,8.0
2,0.2,-3.381304566494129,5.2
0,1.0,-4.262133728134627,6.0
1,1.0,-4.426134886698906,6.4
3,0.6,-3.8882928532895327,7.2
4,0.6,-3.9960469549172215,7.0
0,1.0,-4.753457537090082,7.6
1,1.0,-4.050269528671418,7.4
4,0.6,-3.782376044406221,5.4
3,0.6,-3.974086297275176,7.6
2,0.2,-3.708560744443621,5.8
1,0.6,-3.788181828980325,6.8
3,1.0,-4.543227032600606,7.4
0,0.6,-3.9093052062950533,4.4
4,0.6,-3.7321268741656524,9.0
2,0.6,-3.7016649847131604,6.4
4,1.0,-4.580892175695144,6.6
0,0.2,-4.345475615815262,5.8
1,0.6,-4.214998338326642,6.8
2,0.2,-3.780415945816901,6.4
3,1.0,-4.685467924751212,7.6
0,0.6,-3.8406032510023693,6.2
1,0.6,-3.9525789303648082,6.2
3,1.0,-4.7146935318868595,9.4
4,0.6,-3.9582357076732118,8.0
2,0.2,-4.281522054415495,8.0
4,0.6,-3.612209799725631,6.4
3,1.0,-3.836612500590843,6.4
0,1.0,-4.516892608747152,6.8
2,0.2,-3.8123304018259345,5.8
0,0.6,-4.1953154936290025,5.8
3,1.0,-3.840234882921627,6.0
1,0.2,-3.7941916522311225,5.4
4,0.6,-4.452258060598903,8.0
1,0.6,-3.9250275034935056,8.0
0,1.0,-4.806711114971035,5.8
2,0.6,-4.296797291349372,5.6
4,1.0,-4.160097241817866,8.6
3,1.0,-4.6696316755416865,8.4
0,1.0,-4.662045244931943,7.0
