pair,feature,t-stat,p-value
"(2, 3)",First Index,-0.3197394473146853,0.7492474977393679
"(2, 3)",Content Function Ratio,-0.53214248927757,0.5947718103865771
"(2, 3)",Lexical Frequency,-0.9678234870353736,0.333418589356025
"(2, 3)",Word Length,-3.1914113728468823,0.0014698442383868906
"(2, 4)",First Index,3.2119084273637455,0.001394259133058838
"(2, 4)",Content Function Ratio,-0.5645303885372325,0.5726192685102394
"(2, 4)",Lexical Frequency,-1.6736462364892482,0.09475856857555608
"(2, 4)",Word Length,-1.0677556278897318,0.2860908312599153
"(2, 5)",First Index,-0.8114493480067634,0.41742944884115607
"(2, 5)",Content Function Ratio,-1.83560274621684,0.06691116773811044
"(2, 5)",Lexical Frequency,-1.0328359986635174,0.3020967768408951
"(2, 5)",Word Length,-3.2190887936297776,0.0013553961605107146
"(2, 6)",First Index,-0.859044884146543,0.39062669971166597
"(2, 6)",Content Function Ratio,-0.9404645128720984,0.34732237772078534
"(2, 6)",Lexical Frequency,-2.4266593009443964,0.015504502066380722
"(2, 6)",Word Length,-3.288702005701198,0.001059795492572737
"(2, 8)",First Index,-1.189378929522478,0.23480101316043664
"(2, 8)",Content Function Ratio,-0.14465030703378867,0.885039677277243
"(2, 8)",Lexical Frequency,-2.308663926362172,0.021330108191567224
"(2, 8)",Word Length,-1.8563764911627847,0.06393156400487665
"(2, 10)",First Index,-0.3570699615905066,0.7211829106986916
"(2, 10)",Content Function Ratio,-0.6120817063691025,0.5407486872305916
"(2, 10)",Lexical Frequency,-1.7015017103362753,0.0894408929124595
"(2, 10)",Word Length,-1.6806755025522893,0.0934207740860888
"(2, 12)",First Index,-0.592688922651201,0.5536450386469611
"(2, 12)",Content Function Ratio,0.8325716138974679,0.4054656633549245
"(2, 12)",Lexical Frequency,-2.481118907699806,0.013409702653780378
"(2, 12)",Word Length,-1.5520314872281054,0.121258425445539
"(3, 4)",First Index,3.223134143613066,0.0013729704519644436
"(3, 4)",Content Function Ratio,-0.34974530448953717,0.7267157765281853
"(3, 4)",Lexical Frequency,-1.412966533845766,0.15845105074760069
