pair,feature,t-stat,p-value
"(2, 3)",First Index,0.0087841124708892,0.9929930076808327
"(2, 3)",Content Function Ratio,-0.08697783938401496,0.9307052798168083
"(2, 3)",Lexical Frequency,0.48256410636613567,0.6295032427821583
"(2, 3)",Word Length,-2.2223046873410244,0.026469640072782217
"(2, 4)",First Index,-0.11840847565564143,0.9057741105627684
"(2, 4)",Content Function Ratio,-0.3134527017455391,0.7540194902302579
"(2, 4)",Lexical Frequency,0.5166181431897258,0.6055673322496176
"(2, 4)",Word Length,-2.562943662014755,0.01056304467229324
"(2, 5)",First Index,0.09472678052451451,0.9245558666471798
"(2, 5)",Content Function Ratio,-0.5241139066508695,0.6003463272011409
"(2, 5)",Lexical Frequency,0.2059954087335347,0.8368475707083182
"(2, 5)",Word Length,-1.7163435032431384,0.08649120789761408
"(2, 6)",First Index,-0.09708210787313001,0.9226837566965214
"(2, 6)",Content Function Ratio,-0.31413397867327353,0.7534952921434119
"(2, 6)",Lexical Frequency,0.9996607309545723,0.31775525393162796
"(2, 6)",Word Length,-3.7506093260646893,0.00018819334851249487
"(2, 8)",First Index,-0.08771942985595431,0.9301241350601424
"(2, 8)",Content Function Ratio,-0.6520856333179412,0.5145546194788637
"(2, 8)",Lexical Frequency,0.8070658655894741,0.41989579857871306
"(2, 8)",Word Length,-2.2990477440809727,0.02178849052640969
"(2, 10)",First Index,0.07027321449224803,0.9439957690793656
"(2, 10)",Content Function Ratio,0.033396808895788284,0.9733674360598058
"(2, 10)",Lexical Frequency,0.7999129930674306,0.42402577526376795
"(2, 10)",Word Length,-2.0021397166656674,0.04564537444301063
"(2, 12)",First Index,0.09112013190851928,0.9274234294816213
"(2, 12)",Content Function Ratio,-0.0728688572221861,0.9419314720982557
"(2, 12)",Lexical Frequency,1.1898578289777324,0.2345091616993164
"(2, 12)",Word Length,-1.8682070155899226,0.062154384117508156
"(3, 4)",First Index,-0.11912587546534206,0.9052173100013894
"(3, 4)",Content Function Ratio,-0.3082403909301156,0.7580112462329036
"(3, 4)",Lexical Frequency,0.20821539822989266,0.8351346445429861
"(3, 4)",Word Length,-1.2077269873874168,0.22764967572115932
"(3, 5)",First Index,0.08508991104667196,0.9322195806486457
"(3, 5)",Content Function Ratio,-0.5678188450778086,0.5703800111461765
"(3, 5)",Lexical Frequency,-0.13607771536496,0.891807553892815
"(3, 5)",Word Length,-0.23803349672753055,0.8119400593700138
"(3, 6)",First Index,-0.09809624235500308,0.9218863000990797
"(3, 6)",Content Function Ratio,-0.29368266230323925,0.7690947310137918
"(3, 6)",Lexical Frequency,0.653819321827927,0.5134608798608926
"(3, 6)",Word Length,-2.1605298881016797,0.031098642506087664
"(3, 8)",First Index,-0.08992149370534969,0.928385465977503
"(3, 8)",Content Function Ratio,-0.7668101976144907,0.44355483143685037
"(3, 8)",Lexical Frequency,0.6383830004727182,0.5235155112656472
"(3, 8)",Word Length,-1.4006174589243148,0.1619462985743649
"(3, 10)",First Index,0.0643577156088366,0.9487110173519118
"(3, 10)",Content Function Ratio,0.09444385132214293,0.9247942674539378
"(3, 10)",Lexical Frequency,0.6296142849481808,0.5292334143700246
"(3, 10)",Word Length,-1.0558968188648192,0.2915232437192699
"(3, 12)",First Index,0.08606733858634277,0.9314489262883106
"(3, 12)",Content Function Ratio,-0.04889536862600713,0.9610231029482127
"(3, 12)",Lexical Frequency,1.1235497199633933,0.26176805425454125
"(3, 12)",Word Length,-1.1342313924562393,0.2572659897438247
"(4, 5)",First Index,0.16667476101438783,0.8677437416614057
"(4, 5)",Content Function Ratio,-0.24807614156888963,0.8042535167060528
"(4, 5)",Lexical Frequency,-0.35271569857953317,0.7245613881418325
"(4, 5)",Word Length,0.9988482676235549,0.31871253780113856
"(4, 6)",First Index,0.030345363788659173,0.9758085278815767
"(4, 6)",Content Function Ratio,0.07917971825772092,0.9369339160074825
"(4, 6)",Lexical Frequency,0.38714365920806626,0.6988798977583552
"(4, 6)",Word Length,-0.6322548626796551,0.5276239243200167
"(4, 8)",First Index,0.0,1.0
"(4, 8)",Content Function Ratio,-0.5933550325737192,0.5535701669572156
"(4, 8)",Lexical Frequency,0.5485843650284862,0.5838625774252195
"(4, 8)",Word Length,-0.520657456212919,0.6031436938264383
"(4, 10)",First Index,0.13624866553611056,0.8917527889861814
"(4, 10)",Content Function Ratio,0.3701922976962916,0.7116053383434244
"(4, 10)",Lexical Frequency,0.5322283735224174,0.5951199695078396
"(4, 10)",Word Length,-0.13848876810497962,0.8899843749461629
"(4, 12)",First Index,0.14712984669862808,0.8831855359125665
"(4, 12)",Content Function Ratio,0.1713689432013916,0.8641160453099941
"(4, 12)",Lexical Frequency,1.1765866941187826,0.2408324759616631
"(4, 12)",Word Length,-0.41963215707244356,0.6752282889991346
"(5, 6)",First Index,-0.15172681894329004,0.8794878690097305
"(5, 6)",Content Function Ratio,0.3885082680448146,0.6978708779632821
"(5, 6)",Lexical Frequency,0.873728124083566,0.38285203708416105
"(5, 6)",Word Length,-1.9346123720431003,0.05382545488899825
"(5, 8)",First Index,-0.13561488596390686,0.8922532151845801
"(5, 8)",Content Function Ratio,-0.42745001472509025,0.6694813777061958
"(5, 8)",Lexical Frequency,0.9791287847575059,0.32862194073657647
"(5, 8)",Word Length,-1.5867407332571126,0.11404783708314427
"(5, 10)",First Index,0.0,1.0
"(5, 10)",Content Function Ratio,0.650728106905149,0.5159200727370676
"(5, 10)",Lexical Frequency,0.9485177188275067,0.3439358483174749
"(5, 10)",Word Length,-1.1660503888746807,0.24489197246283495
"(5, 12)",First Index,0.029425969339725615,0.9765557469176931
"(5, 12)",Content Function Ratio,0.40235067678048647,0.6878782504477795
"(5, 12)",Lexical Frequency,1.6825286420369423,0.0941089776829647
"(5, 12)",Word Length,-1.3724674722375216,0.17153593040677376
"(6, 8)",First Index,-0.023911070383510917,0.9809402181719664
"(6, 8)",Content Function Ratio,-0.7994433445559807,0.4246968369655272
"(6, 8)",Lexical Frequency,0.3514116263570967,0.7255383073500765
"(6, 8)",Word Length,-0.07207007070200212,0.942596517605429
"(6, 10)",First Index,0.11997049927383471,0.9045907492411739
"(6, 10)",Content Function Ratio,0.3818834667982801,0.7028313902352636
"(6, 10)",Lexical Frequency,0.33573339817982206,0.7373180731953921
"(6, 10)",Word Length,0.41654634849748373,0.6773226998049001
"(6, 12)",First Index,0.13272236136756302,0.8945148332047287
"(6, 12)",Content Function Ratio,0.1479134821009131,0.8825248169590505
"(6, 12)",Lexical Frequency,1.233476508998721,0.21850347603071163
"(6, 12)",Word Length,-0.02328846725644198,0.9814378977648764
"(8, 10)",First Index,0.11744404390294029,0.9066741374666527
