pair,feature,t-stat,p-value
"(2, 3)",First Index,0.13164056925833126,0.8952931590843491
"(2, 3)",Content Function Ratio,0.21989090433201694,0.8259977519333677
"(2, 3)",Lexical Frequency,-0.20712020725872204,0.8359550975253032
"(2, 3)",Word Length,-0.07277270080302276,0.9420004946135236
"(2, 4)",First Index,0.08872198069185035,0.9293253492891271
"(2, 4)",Content Function Ratio,-0.042914257602895495,0.9657807271809687
"(2, 4)",Lexical Frequency,0.24197283119340435,0.8088640132350577
"(2, 4)",Word Length,-0.7831466630514555,0.4337756966293863
"(2, 5)",First Index,0.14209072557565444,0.8870445718803537
"(2, 5)",Content Function Ratio,-0.32896218446757636,0.7422714576818634
"(2, 5)",Lexical Frequency,1.0515978152448253,0.2933056660611681
"(2, 5)",Word Length,-1.4555558482217197,0.14591269542797322
"(2, 6)",First Index,-0.041606766205503236,0.9668218141994313
"(2, 6)",Content Function Ratio,-0.5298401181290547,0.5963592252503473
"(2, 6)",Lexical Frequency,0.32108545729618804,0.7482234614817305
"(2, 6)",Word Length,-1.733488520948969,0.08336645442659123
"(2, 8)",First Index,0.02634327033425093,0.9789908619537974
"(2, 8)",Content Function Ratio,0.01566269319251272,0.9875078409687643
"(2, 8)",Lexical Frequency,0.1516959601438764,0.879469356069488
"(2, 8)",Word Length,-0.16873926651038065,0.8660492544834062
"(2, 10)",First Index,0.18427825727932293,0.8538472032854322
"(2, 10)",Content Function Ratio,0.8936993303399207,0.3717822384183651
"(2, 10)",Lexical Frequency,-0.6788991461318339,0.4974205360649361
"(2, 10)",Word Length,-0.2825477355169461,0.7776049799665444
"(2, 12)",First Index,0.12027910827552793,0.9042968650657852
"(2, 12)",Content Function Ratio,0.9006264400646817,0.3680993892273624
"(2, 12)",Lexical Frequency,-1.1153725957422322,0.2650768569674718
"(2, 12)",Word Length,-0.20556040164262396,0.8371945924175164
"(3, 4)",First Index,0.0,1.0
"(3, 4)",Content Function Ratio,-0.22969043787810578,0.8184141505165543
"(3, 4)",Lexical Frequency,0.4378554362909713,0.6616557956980401
"(3, 4)",Word Length,-0.8264823742850221,0.4088739230949012
"(3, 5)",First Index,0.050965564771563755,0.9593706903617659
"(3, 5)",Content Function Ratio,-0.5911745411580616,0.5546361994623861
"(3, 5)",Lexical Frequency,1.405362949477362,0.16045437373447458
"(3, 5)",Word Length,-1.5946449315263287,0.11134209132686997
"(3, 6)",First Index,-0.13712410344547207,0.8909754257468907
"(3, 6)",Content Function Ratio,-0.8818170063036245,0.3782037580180755
"(3, 6)",Lexical Frequency,0.5781575596051457,0.5633592323548192
"(3, 6)",Word Length,-1.8792271268536123,0.06066343499775397
"(3, 8)",First Index,-0.0385187315542445,0.9692894099881959
"(3, 8)",Content Function Ratio,-0.11459639265122266,0.9088108588397946
"(3, 8)",Lexical Frequency,0.3075272633386882,0.7585696162165858
"(3, 8)",Word Length,-0.15371604364796354,0.8778954068718361
"(3, 10)",First Index,0.11544478832720488,0.9081387436237589
"(3, 10)",Content Function Ratio,1.0255406686888933,0.305602057910177
"(3, 10)",Lexical Frequency,-0.7100229208578912,0.47801960663273446
"(3, 10)",Word Length,-0.28672171458757356,0.7744437085884939
"(3, 12)",First Index,0.06441650141663464,0.9486655208408399
"(3, 12)",Content Function Ratio,1.0618782353454665,0.28882716608604647
"(3, 12)",Lexical Frequency,-1.2752703438732726,0.2028330260159812
"(3, 12)",Word Length,-0.20589968065114106,0.8369569379912616
"(4, 5)",First Index,0.04155908368868697,0.9668791892243036
"(4, 5)",Content Function Ratio,-0.34503539097424246,0.7303213744144725
"(4, 5)",Lexical Frequency,0.8629407923123857,0.38889306548182156
"(4, 5)",Word Length,-0.7982113313723922,0.42541014820473577
"(4, 6)",First Index,-0.10598665281780535,0.9156523038244662
"(4, 6)",Content Function Ratio,-0.5742201736072913,0.5661794287845989
"(4, 6)",Lexical Frequency,0.021226043117427675,0.9830771648422455
"(4, 6)",Word Length,-0.8806488409284825,0.37909872465723937
"(4, 8)",First Index,-0.033902355765650545,0.9729866148556945
"(4, 8)",Content Function Ratio,0.06622763587072847,0.9472584246251123
"(4, 8)",Lexical Frequency,-0.03372871269090494,0.9731249207570662
"(4, 8)",Word Length,0.5359051714054242,0.5925806463292528
"(4, 10)",First Index,0.10147841270453262,0.9192657091423537
"(4, 10)",Content Function Ratio,1.354453949009527,0.1770199411120114
"(4, 10)",Lexical Frequency,-1.0772162335309277,0.28259649136902604
"(4, 10)",Word Length,0.4089123036063223,0.6830129445597992
"(4, 12)",First Index,0.058619977958151756,0.9533164045570818
"(4, 12)",Content Function Ratio,1.3740858372430331,0.1710338145867897
"(4, 12)",Lexical Frequency,-1.6329127077413883,0.10414344391426092
"(4, 12)",Word Length,0.39102045433474264,0.6962202335474337
"(5, 6)",First Index,-0.15172681894329004,0.8794878690097305
"(5, 6)",Content Function Ratio,-0.16261436661461276,0.870913822054743
"(5, 6)",Lexical Frequency,-1.139151140421517,0.255401772534742
"(5, 6)",Word Length,0.03554043524924068,0.9716686120970517
"(5, 8)",First Index,-0.06804358984022259,0.9458144678291552
"(5, 8)",Content Function Ratio,0.3909927650259731,0.696191568123673
"(5, 8)",Lexical Frequency,-0.8719871390542141,0.38419265164405847
"(5, 8)",Word Length,1.2688265850221063,0.20588128887274643
"(5, 10)",First Index,0.0678895403108352,0.945936953506237
"(5, 10)",Content Function Ratio,1.829164057901641,0.06876665753582861
"(5, 10)",Lexical Frequency,-2.102673765416677,0.03666317928896835
"(5, 10)",Word Length,1.185116817662696,0.2372856473269622
"(5, 12)",First Index,0.02942596933972562,0.9765557469176931
"(5, 12)",Content Function Ratio,1.7993169907084876,0.07355535375112604
"(5, 12)",Lexical Frequency,-2.6479309817294343,0.008779099767713775
"(5, 12)",Word Length,1.073411197731435,0.2844480487613098
"(6, 8)",First Index,0.047945944763503535,0.9617927864704188
"(6, 8)",Content Function Ratio,0.6170240338198333,0.5377097642999635
"(6, 8)",Lexical Frequency,-0.06802000454287539,0.9458172389270785
"(6, 8)",Word Length,1.3815191179312718,0.16819768893331893
"(6, 10)",First Index,0.1914608768582792,0.8483003835943204
"(6, 10)",Content Function Ratio,2.373426956761221,0.01828465422475034
"(6, 10)",Lexical Frequency,-1.548667260894589,0.12256754622440176
"(6, 10)",Word Length,1.270103896504747,0.20507996064812525
"(6, 12)",First Index,0.13272236136756302,0.8945148332047287
"(6, 12)",Content Function Ratio,2.312018677438667,0.02155243924704934
"(6, 12)",Lexical Frequency,-2.3636125607743894,0.018828069193394054
"(6, 12)",Word Length,1.1365408160783812,0.2567687521211755
"(8, 10)",First Index,0.11744974825459156,0.9066696255036669
"(8, 10)",Content Function Ratio,1.523852039499715,0.1297696787049891
"(8, 10)",Lexical Frequency,-1.3025516650633309,0.19483642253635708
"(8, 10)",Word Length,-0.15734744278160837,0.8751945456859231
"(8, 12)",First Index,0.07889344601534261,0.9372510097378013
