First Index,Content Function Ratio,Lexical Frequency,Word Length
0,-0.5,-3.024522172482447,3.75
5,-0.5,-3.032511992844249,4.5
4,0.0,-3.278353227601301,4.25
0,0.0,-3.753955423530762,3.5
0,-1.0,-2.7588155121102895,2.75
0,-0.5,-3.23556716412451,3.0
0,0.0,-3.4305853474821535,4.0
0,0.0,-3.392756768067922,3.5
0,0.0,-2.709092107068935,3.25
2,0.5,-3.397886989376498,5.5
0,0.0,-4.2773939554333404,5.25
0,0.0,-3.983126800009198,4.25
4,-0.5,-2.1569867566082124,3.5
9,0.0,-2.9861282039438963,4.0
1,-0.5,-3.2035230083911466,3.0
0,-0.5,-2.285191785084671,3.75
0,-0.5,-3.3617393822696022,2.25
0,0.0,-2.6139122113377007,4.25
0,-1.0,-2.865984168522341,2.25
0,-0.5,-3.291078052768807,3.5
0,0.5,-3.5298984608484845,3.75
8,-0.5,-2.985663109348418,4.75
2,0.0,-3.542098761831044,4.75
6,0.0,-2.6320212278712782,3.5
0,-1.0,-4.569791266563136,2.25
12,1.0,-4.473718360061889,5.75
0,-0.5,-3.4876870530338975,3.5
1,0.5,-3.547050862082269,5.75
0,0.5,-4.23337114066942,6.25
2,0.0,-3.0870921853082733,2.75
8,-0.5,-2.055736257440242,2.5
1,0.0,-2.700046949593557,3.5
3,0.0,-3.575462033113881,3.5
1,0.0,-2.5579469178233682,3.5
12,0.5,-3.085743427336597,4.0
2,0.5,-2.7707355590748124,4.25
8,-0.5,-2.1701312183342,3.5
6,0.0,-2.96206219030328,4.75
1,0.0,-2.865399782145156,4.25
2,0.0,-3.530925116106242,5.5
26,-0.5,-2.7046250657865145,3.5
10,0.0,-3.138107092347907,4.75
11,0.5,-3.203366543078275,6.25
0,-0.5,-3.373057057178971,3.5
33,0.0,-2.64384758614916,5.75
5,0.0,-3.9186354500491603,5.5
1,-0.5,-2.284171120291012,3.25
6,0.0,-2.9070992745031665,4.25
3,0.0,-2.9947048906739435,4.5
1,-0.5,-2.5399389697679355,3.0
10,0.0,-2.653902116932402,4.0
1,0.5,-2.8017560425356236,4.0
14,0.0,-2.4259970881149377,3.75
8,0.0,-2.499545569726909,3.25
5,0.5,-3.2641918761962847,3.5
1,0.0,-3.1432255961803124,5.25
2,0.5,-3.35400683648046,6.0
1,-0.5,-2.423951117113684,3.5
0,0.5,-3.43765266662139,3.75
6,0.0,-2.28207043072932,2.5
0,0.0,-3.976642866485598,7.0
15,1.0,-3.80116934005476,6.25
2,0.0,-2.567911525937993,3.25
10,0.0,-2.7008996682981175,5.75
2,0.5,-3.37401866331461,6.0
6,0.0,-2.9891898842833298,5.75
6,0.5,-3.8790437679880214,4.75
0,-0.5,-2.877185166029491,2.75
7,0.0,-2.848122026673689,5.75
1,-0.5,-2.3156067328090977,2.25
2,0.5,-2.954732417553678,2.5
3,0.0,-3.2860368818453427,5.5
0,0.0,-3.400162969314657,4.25
14,-0.5,-2.6462331315296415,3.0
0,0.5,-3.194823063785728,4.0
0,0.0,-3.1216602859073648,3.0
5,0.0,-2.378290662041336,3.25
17,-0.5,-2.7115773548878277,3.5
3,0.0,-3.1908222613331305,5.75
4,-0.5,-2.7620606109045367,5.0
15,-0.5,-2.9667923473961926,4.25
8,0.0,-2.9957622408909477,5.5
4,0.0,-2.8276100041012056,3.75
6,0.0,-2.5726394251741413,4.5
1,0.5,-2.8579079661679807,4.25
1,0.0,-2.596520419895149,5.0
4,0.0,-3.390246167092819,3.25
3,0.5,-3.1594133191127196,5.0
2,-0.5,-2.2988399585646646,4.0
3,0.0,-2.988760714870558,4.5
31,-0.5,-2.441860905779648,4.25
1,0.0,-3.0309956584854483,5.5
0,0.0,-2.7427864310534815,3.5
9,-0.5,-3.3291517382990468,3.0
5,-0.5,-2.3781786853038107,4.0
5,-0.5,-2.566748801843532,2.75
