pair,feature,t-stat,p-value
"(2, 3)",First Index,2.1896828816486646,0.02876100436137772
"(2, 3)",Content Function Ratio,1.9178579380165202,0.05539300429644824
"(2, 3)",Lexical Frequency,-4.189659248782976,3.0222070213580345e-05
"(2, 3)",Word Length,3.090189686184052,0.0020515638014968456
"(2, 4)",First Index,1.8526588208313288,0.06430405664484524
"(2, 4)",Content Function Ratio,1.0431246192430157,0.2972096757432542
"(2, 4)",Lexical Frequency,-2.954913006116507,0.003220527487111178
"(2, 4)",Word Length,1.9798307283115597,0.0480692075947032
"(2, 5)",First Index,1.4899436772610908,0.13663816731031844
"(2, 5)",Content Function Ratio,1.4932752445065811,0.13576441330781797
"(2, 5)",Lexical Frequency,-2.9910447645169245,0.0028666635165108868
"(2, 5)",Word Length,2.0609864310118526,0.03963112584082701
"(2, 6)",First Index,0.6370648339532782,0.5242517654451251
"(2, 6)",Content Function Ratio,1.593525195079335,0.11140900635886368
"(2, 6)",Lexical Frequency,-3.9997003371107116,6.886468889493812e-05
"(2, 6)",Word Length,1.4655390832036297,0.14313854994374145
"(2, 8)",First Index,0.7316721250560768,0.46460744617590966
"(2, 8)",Content Function Ratio,1.041585078686069,0.29795467783336393
"(2, 8)",Lexical Frequency,-2.74202684717776,0.00625819100583429
"(2, 8)",Word Length,0.713963502288919,0.4754817702663092
"(2, 10)",First Index,-1.2551120851199404,0.20984642331437398
"(2, 10)",Content Function Ratio,0.8689536024498541,0.3851628775596466
"(2, 10)",Lexical Frequency,-2.966479394913023,0.0031123172114936233
"(2, 10)",Word Length,1.6399635340310823,0.10145075709081937
"(2, 12)",First Index,-1.3343063227220011,0.18254112438184064
"(2, 12)",Content Function Ratio,0.09674721908209089,0.9229550717505774
"(2, 12)",Lexical Frequency,-2.1479344418337964,0.03206450672972961
"(2, 12)",Word Length,-0.037743718817224575,0.9699028723861429
"(3, 4)",First Index,0.5079952135771915,0.6116518523438237
"(3, 4)",Content Function Ratio,-0.24101004795536546,0.8096333910331127
"(3, 4)",Lexical Frequency,-0.2683530377395709,0.7885239979467131
"(3, 4)",Word Length,-0.00972060381128884,0.9922475798746262
"(3, 5)",First Index,0.10595375459633188,0.9156560609169224
"(3, 5)",Content Function Ratio,0.3262196647576398,0.7443770654289592
"(3, 5)",Lexical Frequency,-0.30865272939106614,0.7576976930290652
"(3, 5)",Word Length,0.0790114610609988,0.9370510435530031
"(3, 6)",First Index,-1.076912880105295,0.28192118239416836
"(3, 6)",Content Function Ratio,0.0896478532626865,0.9285948425750346
"(3, 6)",Lexical Frequency,-0.79107349363426,0.4291914414534239
"(3, 6)",Word Length,-1.2078781879566594,0.22753613028130096
"(3, 8)",First Index,-0.3326853677116997,0.7395106781426928
"(3, 8)",Content Function Ratio,0.1869459753952808,0.8517785199832923
"(3, 8)",Lexical Frequency,-0.9675289924057929,0.33374554689897795
"(3, 8)",Word Length,-0.9849841220746252,0.3251063584714402
"(3, 10)",First Index,-2.6157350158741983,0.009171593653454822
"(3, 10)",Content Function Ratio,-0.0503043416596421,0.9598998728210462
"(3, 10)",Lexical Frequency,-1.25447148104188,0.2102544517539938
"(3, 10)",Word Length,0.2565825162657553,0.7976061928194383
"(3, 12)",First Index,-2.5338855980048165,0.011598864529377723
"(3, 12)",Content Function Ratio,-0.8746885327313756,0.3821826690469504
"(3, 12)",Lexical Frequency,-0.6657722914161054,0.5058778044650372
"(3, 12)",Word Length,-1.672588995883939,0.09506257342487406
"(4, 5)",First Index,-0.3107761550386692,0.7561971713597615
"(4, 5)",Content Function Ratio,0.5211813475838584,0.6026437572052795
"(4, 5)",Lexical Frequency,-0.03868567759081039,0.9691679821767276
"(4, 5)",Word Length,0.08292144041042951,0.9339720116696596
"(4, 6)",First Index,-1.2033246941598812,0.2296458224255983
"(4, 6)",Content Function Ratio,0.3635261877698929,0.7164264254177254
"(4, 6)",Lexical Frequency,-0.45519967866421646,0.6492415257344977
"(4, 6)",Word Length,-1.060771786385805,0.2895087318821858
"(4, 8)",First Index,-0.5903794459405187,0.5555592094802528
"(4, 8)",Content Function Ratio,0.3948129492099779,0.6933741539780071
"(4, 8)",Lexical Frequency,-0.8730120984099128,0.38363500763584435
"(4, 8)",Word Length,-1.0203851625326168,0.3086979742917794
"(4, 10)",First Index,-2.434173395492881,0.015745751548934823
"(4, 10)",Content Function Ratio,0.14932727476955132,0.8814360256827589
"(4, 10)",Lexical Frequency,-1.230754731104056,0.2197656347075975
"(4, 10)",Word Length,0.28023356634641383,0.7795690202435395
"(4, 12)",First Index,-2.3740776219255944,0.018589745283232754
"(4, 12)",Content Function Ratio,-0.7816302447647592,0.4354048117132966
"(4, 12)",Lexical Frequency,-0.5973539416057686,0.5509823255141324
"(4, 12)",Word Length,-1.8285082976183933,0.0690412699125243
"(5, 6)",First Index,-0.8591133003877571,0.39085288628853576
