pair,feature,t-stat,p-value
"(2, 3)",First Index,-0.007172194232141977,0.9942783501773351
"(2, 3)",Content Function Ratio,-1.5582592577157461,0.11936736689441889
"(2, 3)",Lexical Frequency,-0.6719349298141118,0.5017210521011553
"(2, 3)",Word Length,1.0189531141208064,0.3083775583490932
"(2, 4)",First Index,0.053190458318647764,0.9575891156990735
"(2, 4)",Content Function Ratio,-0.01105807228584794,0.9911789744171788
"(2, 4)",Lexical Frequency,-1.2227881656940267,0.2216526426898335
"(2, 4)",Word Length,-0.07990450620814431,0.9363266861154427
"(2, 5)",First Index,-0.03384847347550369,0.9730036773961219
"(2, 5)",Content Function Ratio,-0.15297991984145923,0.8784401329695591
"(2, 5)",Lexical Frequency,-1.1019955762964961,0.2706871738911334
"(2, 5)",Word Length,-0.1690253752002524,0.8658055044541646
"(2, 6)",First Index,0.04534343993401009,0.9638405591905668
"(2, 6)",Content Function Ratio,-0.4641621470280668,0.6426096548699312
"(2, 6)",Lexical Frequency,-0.5835095910680225,0.5596519890248653
"(2, 6)",Word Length,-0.5709304022240163,0.5681459554541385
"(2, 8)",First Index,0.20082528777775605,0.8408730717018209
"(2, 8)",Content Function Ratio,-0.044850062035555506,0.9642351278197111
"(2, 8)",Lexical Frequency,-0.6661582377865699,0.5054524910365739
"(2, 8)",Word Length,-1.1029624614360571,0.2702896305120969
"(2, 10)",First Index,-0.12190006268523604,0.9030008852099559
"(2, 10)",Content Function Ratio,0.38870674238271563,0.6975698528108941
"(2, 10)",Lexical Frequency,-1.2289493226198998,0.21935900449703416
"(2, 10)",Word Length,-1.1991734908640355,0.2307240106899721
"(2, 12)",First Index,0.08640640202590359,0.9311599581514437
"(2, 12)",Content Function Ratio,1.4055404593610656,0.16015871090022463
"(2, 12)",Lexical Frequency,-1.6588396393365972,0.09744905187311964
"(2, 12)",Word Length,0.7464499992879903,0.4555640009261325
"(3, 4)",First Index,0.05552345805279276,0.9557343082441343
"(3, 4)",Content Function Ratio,1.1687710264098805,0.24281901214297916
"(3, 4)",Lexical Frequency,-0.9346812956104857,0.35021432332351765
"(3, 4)",Word Length,-0.8787395744113806,0.37978737394047135
"(3, 5)",First Index,-0.027761729026399375,0.9778586157458554
"(3, 5)",Content Function Ratio,1.0430197126242169,0.2972315858817782
"(3, 5)",Lexical Frequency,-0.796968945573987,0.4256885220956391
"(3, 5)",Word Length,-1.0190732603515928,0.3084541138257416
"(3, 6)",First Index,0.048063055695227584,0.9616758832650277
"(3, 6)",Content Function Ratio,0.9273221439106757,0.3539899741006869
"(3, 6)",Lexical Frequency,-0.05681234916333303,0.9547063768247958
"(3, 6)",Word Length,-1.6367273482960893,0.10201182419092675
"(3, 8)",First Index,0.19935470198883118,0.8420390391165613
"(3, 8)",Content Function Ratio,0.8587392836032542,0.39075728128346976
"(3, 8)",Lexical Frequency,-0.43124555066348536,0.6664131017712946
"(3, 8)",Word Length,-1.9886226526448725,0.04710394082017549
"(3, 10)",First Index,-0.11537591212903736,0.9081778895306272
"(3, 10)",Content Function Ratio,1.3902754574082208,0.1648554939935667
"(3, 10)",Lexical Frequency,-1.137624764526101,0.2556385725174075
"(3, 10)",Word Length,-2.1033255911329594,0.035768074448101234
"(3, 12)",First Index,0.08784151811530877,0.9300271316021809
"(3, 12)",Content Function Ratio,2.4676763524404945,0.01383144173299202
"(3, 12)",Lexical Frequency,-1.7595161806137272,0.07891572084315915
"(3, 12)",Word Length,0.4456855205877308,0.6559587786089607
"(4, 5)",First Index,-0.06796276660305878,0.9458468639894574
"(4, 5)",Content Function Ratio,-0.154156221484431,0.8775588838697524
"(4, 5)",Lexical Frequency,0.14906570457458906,0.8815716716742463
"(4, 5)",Word Length,-0.09193973955731038,0.9267887337052546
"(4, 6)",First Index,-0.012399618014676652,0.9901113863582897
"(4, 6)",Content Function Ratio,-0.4719493780279162,0.6371542758143706
"(4, 6)",Lexical Frequency,0.9577114509604074,0.33863844749839955
"(4, 6)",Word Length,-0.4630356531793817,0.6435260507766518
"(4, 8)",First Index,0.13868316620157686,0.8897872118658622
"(4, 8)",Content Function Ratio,-0.0452321213737248,0.963950329159017
"(4, 8)",Lexical Frequency,0.2888006343782947,0.7729197791900957
"(4, 8)",Word Length,-1.2013378884510446,0.23050303105209125
"(4, 10)",First Index,-0.13857097783444297,0.8898757978163646
"(4, 10)",Content Function Ratio,0.49331889658297334,0.6221235548396343
"(4, 10)",Lexical Frequency,-0.40684981259153574,0.684388596823683
"(4, 10)",Word Length,-1.3007585584875863,0.19427121142938802
"(4, 12)",First Index,0.04811330127361604,0.9616595262981908
