First Index,Content Function Ratio,Lexical Frequency,Word Length
0,0.2,-4.748204150451024,5.6
4,0.6,-4.129463831952744,6.6
5,0.2,-3.5110369751529205,5.6
3,-0.2,-3.3617232232145824,6.2
0,0.6,-4.995787762613529,7.2
6,0.6,-3.8597661316492973,5.6
0,1.0,-4.7023472858207045,7.6
4,-0.2,-3.2016158045630676,3.8
0,0.6,-5.405329248942516,7.8
0,0.6,-4.3548636760430846,7.4
7,-0.6,-2.864641924830286,3.2
0,0.6,-4.226538723400298,4.4
0,0.6,-5.0165125113912055,7.0
7,0.6,-4.398634628076764,6.4
7,0.6,-4.636204421185574,6.0
7,0.6,-3.784007639461783,4.4
6,0.2,-4.161888900823836,4.8
0,0.6,-4.953184910582921,8.0
0,0.6,-4.93920960368118,7.0
0,0.2,-4.2258975869232085,6.4
2,0.2,-3.716724817497242,5.6
0,-0.2,-3.942668943301128,4.2
9,0.6,-4.037855852872065,7.0
18,0.6,-4.651500350140881,7.8
6,-0.2,-4.045638937388157,6.0
5,-0.2,-3.9091281087176144,4.2
0,0.6,-4.52608937952337,7.4
2,0.2,-3.8828094288420503,5.6
0,0.6,-4.692738571240387,7.6
9,0.6,-4.226047416811432,5.2
14,0.6,-5.0934132068368125,9.2
0,0.6,-4.973894695178214,6.8
4,0.6,-3.648404339071533,5.8
4,0.6,-3.7988991210091667,6.8
0,0.6,-4.15651432788215,5.6
23,0.6,-4.57020229080134,8.4
10,0.2,-3.7702694053493864,8.0
22,-0.2,-3.1244956680674925,3.4
5,-0.2,-3.2574047702024216,3.4
0,0.2,-4.753978898752898,6.0
0,0.6,-4.552378559637178,7.4
10,0.2,-4.085040024280373,7.2
8,0.6,-4.874558161565326,7.0
6,0.2,-3.4416776314186692,4.2
0,0.2,-3.9114444537098776,4.2
5,0.6,-3.5635661989152787,6.0
3,0.2,-3.2737906875568017,5.2
26,0.6,-3.851546435344379,7.0
2,-0.2,-3.040776363232482,5.0
0,0.2,-4.1161110699413825,5.2
0,1.0,-4.802047948768293,7.4
0,0.2,-4.5498838327442455,4.6
0,-0.2,-3.9033384039680827,4.6
0,-0.2,-4.275761735433727,4.0
4,0.6,-3.758125911046342,5.4
2,0.2,-3.2837279681472205,5.4
5,0.6,-4.144254388565896,8.8
0,0.2,-4.457712538365525,5.4
0,0.2,-3.8233871700862467,5.0
0,0.2,-4.852100780360391,7.2
0,0.6,-4.533234970587452,7.6
1,-0.2,-3.452720395157524,5.0
0,-0.6,-3.015318104817466,2.2
2,0.2,-3.468697231989318,6.4
4,0.2,-4.03377822857568,6.2
0,-0.6,-3.9575421536381965,4.0
14,0.2,-3.893871706252539,5.8
10,0.2,-3.500399823060544,5.4
3,1.0,-4.3206296421054216,6.0
0,1.0,-4.753426400349086,10.0
0,0.2,-3.9445221808916306,6.6
7,-0.6,-3.1813222322336614,3.8
2,0.2,-3.2614580779775286,4.4
10,-0.2,-2.869497230619631,3.2
8,1.0,-4.609050652336587,9.0
1,0.6,-3.682393202172044,5.0
4,0.6,-4.0182214057188,7.2
9,0.2,-4.370840419832911,5.6
0,0.6,-5.384382178838514,9.4
2,-0.6,-3.182273419533929,4.4
4,-0.2,-3.244109661866401,5.0
15,0.6,-4.247802810581112,8.0
0,0.6,-4.290311516216564,5.4
0,-0.2,-3.523263664950336,5.0
0,-0.6,-3.328592560626759,3.0
13,0.2,-3.54121715486464,4.6
14,0.6,-3.433777381539526,8.8
15,0.2,-4.155859709905141,9.2
1,0.2,-4.2357552911469,5.4
