pair,feature,t-stat,p-value
"(2, 3)",First Index,0.02149334500373628,0.9828547623167002
"(2, 3)",Content Function Ratio,-0.06749722167619895,0.9461942132368765
"(2, 3)",Lexical Frequency,-2.2820268174524805,0.022617084695861846
"(2, 3)",Word Length,-0.29858587696162303,0.765294383786427
"(2, 4)",First Index,0.08685627229869712,0.9308004191886259
"(2, 4)",Content Function Ratio,-0.19950344802467432,0.8419031448757114
"(2, 4)",Lexical Frequency,-1.014078179831946,0.31075227914752385
"(2, 4)",Word Length,-0.5608136285564914,0.5750305259691669
"(2, 5)",First Index,0.08685627229869712,0.9308004191886259
"(2, 5)",Content Function Ratio,-0.6870394108115413,0.49219220854694623
"(2, 5)",Lexical Frequency,-1.6557629389255748,0.09803437756955145
"(2, 5)",Word Length,-1.729275471172414,0.08402001099841866
"(2, 6)",First Index,0.0,1.0
"(2, 6)",Content Function Ratio,-0.6262771485887205,0.5312436288673391
"(2, 6)",Lexical Frequency,-2.675764623340555,0.007549992001810797
"(2, 6)",Word Length,-1.0594099273273259,0.28961083873124077
"(2, 8)",First Index,-0.06438581977175695,0.9486749578431211
"(2, 8)",Content Function Ratio,-0.4024379695042763,0.6874415166131382
"(2, 8)",Lexical Frequency,-1.6764231877227398,0.09394527807624475
"(2, 8)",Word Length,-1.3454590964278716,0.17875995432399935
"(2, 10)",First Index,0.12886169552603455,0.897491123469123
"(2, 10)",Content Function Ratio,-0.3517537646070731,0.7250916803541398
"(2, 10)",Lexical Frequency,-2.1696954938028026,0.030247822686652055
"(2, 10)",Word Length,-1.3983499396764059,0.16229560733941648
"(2, 12)",First Index,0.1605112277384408,0.8725094890935409
"(2, 12)",Content Function Ratio,-1.0528304320940478,0.2926627933035767
"(2, 12)",Lexical Frequency,-1.6501026406451769,0.09922331708595905
"(2, 12)",Word Length,-1.9493574945782866,0.05152074756280069
"(3, 4)",First Index,0.06934436276652457,0.9447315970540622
"(3, 4)",Content Function Ratio,-0.1827944555023173,0.8550022814959974
"(3, 4)",Lexical Frequency,0.5853275083789061,0.558480715005463
"(3, 4)",Word Length,-0.4202979562734347,0.6743725506295828
"(3, 5)",First Index,0.06934436276652457,0.9447315970540622
"(3, 5)",Content Function Ratio,-0.767292304120051,0.44311785004511806
"(3, 5)",Lexical Frequency,-0.16151778790582771,0.8717234510619187
"(3, 5)",Word Length,-1.7773854892379954,0.07585736451158573
"(3, 6)",First Index,-0.01601688680378212,0.9872242134172624
"(3, 6)",Content Function Ratio,-0.6757834749894874,0.49933920398023435
"(3, 6)",Lexical Frequency,-0.9671381596783006,0.33371603879212697
"(3, 6)",Word Length,-0.940874402976251,0.34700347241935514
"(3, 8)",First Index,-0.07334758207828544,0.941548981504803
"(3, 8)",Content Function Ratio,-0.4549414504195937,0.64928231944808
"(3, 8)",Lexical Frequency,-0.6959696803886903,0.4866622810807969
"(3, 8)",Word Length,-1.4433839115942169,0.149327679795617
"(3, 10)",First Index,0.11537591212903736,0.9081778895306272
"(3, 10)",Content Function Ratio,-0.3933095872114931,0.6942020206699642
"(3, 10)",Lexical Frequency,-1.2970037736133857,0.1950266260075057
"(3, 10)",Word Length,-1.5069642921669983,0.13223864545020136
"(3, 12)",First Index,0.1491769968951135,0.8814558603651071
"(3, 12)",Content Function Ratio,-1.2733608152290894,0.20330212780602563
"(3, 12)",Lexical Frequency,-0.9109405753989083,0.3626324020155053
"(3, 12)",Word Length,-2.214249530484228,0.02712499513909774
"(4, 5)",First Index,0.0,1.0
"(4, 5)",Content Function Ratio,-0.5634679482644034,0.5734099907315328
"(4, 5)",Lexical Frequency,-0.7546299161747047,0.45088415062416765
"(4, 5)",Word Length,-1.317742319246647,0.18829154234413714
"(4, 6)",First Index,-0.07426068512400588,0.9408305617000696
"(4, 6)",Content Function Ratio,-0.42250962523900104,0.6728218827689083
"(4, 6)",Lexical Frequency,-1.653972177698598,0.09871645843189086
"(4, 6)",Word Length,-0.4073198447617258,0.6839351045105112
"(4, 8)",First Index,-0.11034510466970392,0.912204428731674
"(4, 8)",Content Function Ratio,-0.3433923502140331,0.7315274094019741
"(4, 8)",Lexical Frequency,-1.3341981666017857,0.18308170996453804
"(4, 8)",Word Length,-1.2732291959239816,0.20385513517799428
"(4, 10)",First Index,0.05530091417374437,0.9559330303088636
"(4, 10)",Content Function Ratio,-0.27817180152080606,0.7810590152400642
"(4, 10)",Lexical Frequency,-2.063738840968327,0.03984342501325915
"(4, 10)",Word Length,-1.345218317408126,0.17950134313194221
"(4, 12)",First Index,0.0957304384291396,0.9238017071008285
"(4, 12)",Content Function Ratio,-1.317962462460881,0.188570868883639
"(4, 12)",Lexical Frequency,-1.5611500519339645,0.1195941754909873
"(4, 12)",Word Length,-2.2858317154819887,0.022995558371973233
"(5, 6)",First Index,-0.07426068512400588,0.9408305617000696
"(5, 6)",Content Function Ratio,0.24742331962043224,0.8046750225673622
"(5, 6)",Lexical Frequency,-0.7764982229024658,0.43779611233810556
"(5, 6)",Word Length,1.1303087740556734,0.2588497900729864
"(5, 8)",First Index,-0.11034510466970392,0.912204428731674
"(5, 8)",Content Function Ratio,0.1444905295478279,0.8852035267203344
"(5, 8)",Lexical Frequency,-0.6994671295027228,0.48476511668948097
"(5, 8)",Word Length,-0.115655677256108,0.907997526757178
"(5, 10)",First Index,0.05530091417374437,0.9559330303088636
"(5, 10)",Content Function Ratio,0.22590346488298116,0.8214198226241778
"(5, 10)",Lexical Frequency,-1.4492357680804573,0.14824493048342754
"(5, 10)",Word Length,-0.1892500544663395,0.8500160703305858
"(5, 12)",First Index,0.0957304384291396,0.9238017071008285
"(5, 12)",Content Function Ratio,-1.0498335278957653,0.2946809513130481
"(5, 12)",Lexical Frequency,-1.034605773754543,0.301727074651441
"(5, 12)",Word Length,-1.3257617402357518,0.18597655937675658
"(6, 8)",First Index,-0.0586199450840966,0.9532820557548791
"(6, 8)",Content Function Ratio,-0.04799076814746694,0.96174588142956
"(6, 8)",Lexical Frequency,-0.13588133889485862,0.8919786766605918
"(6, 8)",Word Length,-1.10168539594757,0.27121473605939
"(6, 10)",First Index,0.11744467178311083,0.9065625227267359
"(6, 10)",Content Function Ratio,0.03890203157411359,0.9689865513263349
"(6, 10)",Lexical Frequency,-0.994989093522309,0.3203011401599314
"(6, 10)",Word Length,-1.1840421467371343,0.23705047502291574
"(6, 12)",First Index,0.15019024074599757,0.8806913807374569
"(6, 12)",Content Function Ratio,-1.3297331505136745,0.18437551941677277
"(6, 12)",Lexical Frequency,-0.6118862098789294,0.5409659670544563
"(6, 12)",Word Length,-2.297761398584425,0.02209864559133518
"(8, 10)",First Index,0.14317913988772485,0.8862834291984838
"(8, 10)",Content Function Ratio,0.08135018236357835,0.9352394983821035
"(8, 10)",Lexical Frequency,-0.8265475632774318,0.40941415682431015
"(8, 10)",Word Length,-0.07987505206146794,0.9364112764747657
"(8, 12)",First Index,0.1704800537697035,0.8648262399863772
"(8, 12)",Content Function Ratio,-1.3125538966339616,0.19102318659116566
"(8, 12)",Lexical Frequency,-0.5164949869630218,0.606149816199554
"(8, 12)",Word Length,-1.4327339062829523,0.1536878081129012
"(10, 12)",First Index,0.04279891176734737,0.9659098028615504
"(10, 12)",Content Function Ratio,-1.4582647666805577,0.14652976387789785
"(10, 12)",Lexical Frequency,0.2574655915866068,0.7971167713954468
"(10, 12)",Word Length,-1.3590239901497143,0.1758584433583821
