pair,feature,t-stat,p-value
"(2, 3)",First Index,-0.27696383014027776,0.7818609767124567
"(2, 3)",Content Function Ratio,-1.7559601843745094,0.07937916815462068
"(2, 3)",Lexical Frequency,-0.2098668378022577,0.8338112613251603
"(2, 3)",Word Length,-4.6021602268749975,4.678024322023754e-06
"(2, 4)",First Index,1.5480344025902646,0.12201449858269671
"(2, 4)",Content Function Ratio,-1.2598893259759472,0.20808134429069386
"(2, 4)",Lexical Frequency,-0.6058493632118789,0.5447888089497781
"(2, 4)",Word Length,-1.280975418396631,0.20057820978814642
"(2, 5)",First Index,-1.93344599509617,0.05353825314313335
"(2, 5)",Content Function Ratio,-2.377354623710782,0.017674449268879143
"(2, 5)",Lexical Frequency,-0.5153047586219133,0.6064842343567164
"(2, 5)",Word Length,-2.7501595532968928,0.006092823339840686
"(2, 6)",First Index,-2.564312364474709,0.010506426378833025
"(2, 6)",Content Function Ratio,-1.3220522564632107,0.18650145757454512
"(2, 6)",Lexical Frequency,-2.533696742435554,0.011462765349611234
"(2, 6)",Word Length,-2.7200271480636258,0.006659041102653681
"(2, 8)",First Index,0.13107165741353122,0.8957553377777888
"(2, 8)",Content Function Ratio,-0.2803900841262704,0.7792590107940163
"(2, 8)",Lexical Frequency,-2.3676133168564166,0.018167351461200073
"(2, 8)",Word Length,-0.9431601949040184,0.34591621235368386
"(2, 10)",First Index,-4.540156211361838,6.590509424922989e-06
"(2, 10)",Content Function Ratio,-0.6073173985258215,0.5438323054805908
"(2, 10)",Lexical Frequency,-2.851093149609698,0.0044819698192493495
"(2, 10)",Word Length,-0.693694761413258,0.4880980057675913
"(2, 12)",First Index,-1.915872182520088,0.05579193464253034
"(2, 12)",Content Function Ratio,0.6256247856655747,0.5317667547610843
"(2, 12)",Lexical Frequency,-2.7907977651101477,0.005402278886861028
"(2, 12)",Word Length,-1.2595521805766452,0.20825438309376904
"(3, 4)",First Index,1.520343314498946,0.1289753450716577
"(3, 4)",Content Function Ratio,-0.14474661103592365,0.8849617448249735
"(3, 4)",Lexical Frequency,-0.5701234169793865,0.5688170729154385
"(3, 4)",Word Length,1.989435231698362,0.04712730930351234
"(3, 5)",First Index,-1.5020997596608519,0.13362125720556087
"(3, 5)",Content Function Ratio,-1.4997387442286219,0.13423188478328657
"(3, 5)",Lexical Frequency,-0.46791050113002913,0.6400261993868855
"(3, 5)",Word Length,0.375228824319011,0.7076289044327608
"(3, 6)",First Index,-2.0072095745265006,0.045143434704406585
"(3, 6)",Content Function Ratio,0.08855423162967743,0.9294636278927906
"(3, 6)",Lexical Frequency,-2.890612666966439,0.003974017616582764
"(3, 6)",Word Length,1.1149012728477465,0.2653073231332241
"(3, 8)",First Index,0.2431172499709436,0.8080138763575493
"(3, 8)",Content Function Ratio,0.7017535128337772,0.48315810336005105
"(3, 8)",Lexical Frequency,-2.9310004908012175,0.003532744558150317
"(3, 8)",Word Length,1.520794494250196,0.12894100990374005
"(3, 10)",First Index,-3.8116037426610636,0.00015521724167217685
"(3, 10)",Content Function Ratio,0.2894454365238263,0.7723600310881643
"(3, 10)",Lexical Frequency,-3.563344964249667,0.0004011036240106914
"(3, 10)",Word Length,1.8190200237736247,0.06950399954263267
"(3, 12)",First Index,-1.5652679411757093,0.11818185390464038
"(3, 12)",Content Function Ratio,1.6852120461192868,0.09260034189023682
"(3, 12)",Lexical Frequency,-3.5415811398266204,0.00043672209363448847
"(3, 12)",Word Length,0.6965038565494467,0.48645189293362157
"(4, 5)",First Index,-2.7024713207214672,0.007294060782014296
"(4, 5)",Content Function Ratio,-1.2649110640673498,0.20693290115969631
"(4, 5)",Lexical Frequency,0.10554890062902081,0.9160142587114868
"(4, 5)",Word Length,-1.5604574594328962,0.11975764714694027
"(4, 6)",First Index,-2.774817680247381,0.0058130232203907764
"(4, 6)",Content Function Ratio,0.23577544849241988,0.8137417425118185
"(4, 6)",Lexical Frequency,-1.7981428347746038,0.07299674291318116
